id,parent_id,title,code,config,depth,description,level,duration,max_score,random_item,item_duration,created_at,updated_at,note
4d7c4730-7aac-407e-86ad-c91b5060648f,,Example Package,E-TEFL#DxLq,E-TEFL,0,,,0,0,false,false,2020-07-16 10:57:33,2020-08-03 20:33:05,
da5bc07b-3af0-4774-ab9c-56639da13e3f,,Package 2020,E-TEFL#idDG,E-TEFL,0,,,0,0,false,false,2020-08-03 23:59:57,2020-12-11 14:21:38,[],
6672e08f-c675-4763-bb97-fe6b96baf538,ad7cbb23-8b95-418d-ba84-9d0cc3a3e5f0,PART A,,E-TEFL.listening.part-a,2,,,0,0,true,true,2020-07-16 10:57:33,2020-07-16 10:57:38,
2c4b3180-8ff5-4eac-88ca-0c197aefd234,ad7cbb23-8b95-418d-ba84-9d0cc3a3e5f0,PART B,,E-TEFL.listening.part-b,2,,,0,0,true,true,2020-07-16 10:57:33,2020-07-16 10:57:40,
3373cff6-6687-4c1c-a41b-2cbe483c2d57,ad7cbb23-8b95-418d-ba84-9d0cc3a3e5f0,PART C,,E-TEFL.listening.part-c,2,,,0,0,true,true,2020-07-16 10:57:33,2020-07-16 10:57:42,
ad7cbb23-8b95-418d-ba84-9d0cc3a3e5f0,4d7c4730-7aac-407e-86ad-c91b5060648f,Listening,,E-TEFL.listening,1,,,0,0,false,true,2020-07-16 10:57:33,2020-07-16 10:57:42,
d281a464-9032-4420-9520-179a3df1da69,d81bb9ba-d94d-4552-b646-4c8aa04373f9,Structure,,E-TEFL.grammar.structure,3,,,0,0,true,false,2020-07-16 10:57:33,2020-07-16 10:57:44,
d18508cb-b757-4e89-a48b-6dea1ea01b3a,d81bb9ba-d94d-4552-b646-4c8aa04373f9,Written Expression,,E-TEFL.grammar.written-expression,3,,,0,0,true,false,2020-07-16 10:57:33,2020-07-16 10:57:47,
d81bb9ba-d94d-4552-b646-4c8aa04373f9,4d7c4730-7aac-407e-86ad-c91b5060648f,Structure & Written Expression,,E-TEFL.grammar,2,,,1500,0,false,false,2020-07-16 10:57:33,2020-07-16 10:57:47,
50e53574-55f4-47d8-8343-0229629ee782,4d7c4730-7aac-407e-86ad-c91b5060648f,Reading,,E-TEFL.reading,3,,,3300,0,true,false,2020-07-16 10:57:33,2020-07-16 10:57:56,
81cd2f29-f2de-423b-b0f3-fb8f1a2fc64a,eba31bc9-af6f-4a15-9f7f-86d8baf6ee18,PART C,,E-TEFL.listening.part-c,2,,,0,0,true,true,2020-08-03 23:59:57,2020-12-11 12:54:17,
00a8cef6-29c6-4033-9e7a-f77f6f08f8ce,eba31bc9-af6f-4a15-9f7f-86d8baf6ee18,PART A,,E-TEFL.listening.part-a,2,,,0,0,true,true,2020-08-03 23:59:57,2020-12-11 12:59:48,
27555232-3f2e-4102-89c2-2d35d4d27007,b3a41534-55ac-4291-acc4-6925089d1f47,Written Expression,,E-TEFL.grammar.written-expression,3,,,0,0,true,false,2020-08-03 23:59:57,2020-12-11 14:05:47,
b2d3e7d3-e10f-48cd-9fbd-7527bd2f697b,b3a41534-55ac-4291-acc4-6925089d1f47,Structure,,E-TEFL.grammar.structure,3,,,0,0,true,false,2020-08-03 23:59:57,2020-12-11 14:08:10,
b3a41534-55ac-4291-acc4-6925089d1f47,da5bc07b-3af0-4774-ab9c-56639da13e3f,Structure & Written Expression,,E-TEFL.grammar,2,,,1500,0,false,false,2020-08-03 23:59:57,2020-12-11 14:08:10,
eebaa6ef-8750-4fa2-8f95-ce0425ffb8f0,da5bc07b-3af0-4774-ab9c-56639da13e3f,Reading,,E-TEFL.reading,3,,,3300,0,true,false,2020-08-03 23:59:57,2020-12-11 14:14:06,
051cf16e-f983-4b97-a8b4-8b9e190d4139,eba31bc9-af6f-4a15-9f7f-86d8baf6ee18,PART B,,E-TEFL.listening.part-b,2,,,0,0,true,true,2020-08-03 23:59:57,2020-12-11 14:21:38,
eba31bc9-af6f-4a15-9f7f-86d8baf6ee18,da5bc07b-3af0-4774-ab9c-56639da13e3f,Listening,,E-TEFL.listening,1,,,0,0,false,true,2020-08-03 23:59:57,2020-12-11 14:21:38
